Year,exchange_rate,SGP Inflation
1991,1.7261379999999997,3.4257016
1992,1.627649603174603,2.2630713
1993,1.6143580531250001,2.2892997
1994,1.5264860535433074,3.1001327
1995,1.416476190476191,1.7205338
1996,1.40931105530754,1.3831805
1997,1.4844048062500002,2.0035863
1998,1.6703145539314508,-0.26750228
1999,1.6943105846774191,0.016709834
2000,1.7243702380952384,1.3616239
2001,1.7919753511811023,0.997198
2002,1.7901661290322584,-0.39167687
2003,1.7415988911290319,0.5079053
2004,1.6895723160282254,1.6627272
2005,1.6638593984251968,0.4251063
2006,1.5882873873015875,0.9629018
2007,1.5065447580645164,2.10488
2008,1.4137129749999997,6.627782
2009,1.453919606854839,0.5967203
2010,1.3623799773185479,2.8236613
2011,1.256770031496063,5.247793
2012,1.2488139149606297,4.5756025
2013,1.2506001008064518,2.3586042
2014,1.2666084803427418,1.025148
2015,1.374376918377322,-0.5226182
2016,1.3807270992366412,-0.53226876
2017,1.3806265384615388,0.5762603
2018,1.3491151821572003,0.43862012
2019,1.3641153153893568,0.5652606
