date,value
02/01/91,1.7495
03/01/91,1.737
04/01/91,1.7426
07/01/91,1.7546
08/01/91,1.7597
09/01/91,1.7506
10/01/91,1.7515
11/01/91,1.7522
14/01/91,1.7648
15/01/91,1.7645
16/01/91,1.77
17/01/91,1.7364
18/01/91,1.743
21/01/91,1.7335
22/01/91,1.7312
23/01/91,1.7269
24/01/91,1.7262
25/01/91,1.73
28/01/91,1.7213
29/01/91,1.7239
30/01/91,1.7253
31/01/91,1.7222
01/02/91,1.7255
04/02/91,1.712
05/02/91,1.7068
06/02/91,1.708
07/02/91,1.7058
08/02/91,1.712
11/02/91,1.7097
12/02/91,1.712
13/02/91,1.7064
14/02/91,1.7095
15/02/91,1.7057
19/02/91,1.7157
20/02/91,1.723
21/02/91,1.7168
22/02/91,1.7203
25/02/91,1.7235
26/02/91,1.7225
27/02/91,1.7277
28/02/91,1.7236
01/03/91,1.7321
04/03/91,1.7335
05/03/91,1.734
06/03/91,1.742
07/03/91,1.742
08/03/91,1.7438
11/03/91,1.7475
12/03/91,1.7438
13/03/91,1.748
14/03/91,1.7485
15/03/91,1.755
18/03/91,1.754
19/03/91,1.771
20/03/91,1.7775
21/03/91,1.7705
22/03/91,1.769
25/03/91,1.7746
26/03/91,1.78
27/03/91,1.789
28/03/91,1.7945
01/04/91,1.785
02/04/91,1.7835
03/04/91,1.765
04/04/91,1.7628
05/04/91,1.7585
08/04/91,1.7695
09/04/91,1.7615
10/04/91,1.76
11/04/91,1.753
12/04/91,1.7555
15/04/91,1.75
16/04/91,1.748
17/04/91,1.7511
18/04/91,1.7575
19/04/91,1.7725
22/04/91,1.781
23/04/91,1.771
24/04/91,1.771
25/04/91,1.7745
26/04/91,1.775
29/04/91,1.7795
30/04/91,1.762
01/05/91,1.7565
02/05/91,1.7658
03/05/91,1.775
06/05/91,1.7705
07/05/91,1.7649
08/05/91,1.772
09/05/91,1.7729
10/05/91,1.7695
13/05/91,1.768
14/05/91,1.7735
15/05/91,1.7618
16/05/91,1.7634
17/05/91,1.7705
20/05/91,1.7666
21/05/91,1.7678
22/05/91,1.7724
23/05/91,1.766
24/05/91,1.7645
28/05/91,1.766
29/05/91,1.7599
30/05/91,1.763
31/05/91,1.7665
03/06/91,1.7682
04/06/91,1.7684
05/06/91,1.773
06/06/91,1.773
07/06/91,1.78
10/06/91,1.7815
11/06/91,1.7815
12/06/91,1.7875
13/06/91,1.7885
14/06/91,1.7855
17/06/91,1.7875
18/06/91,1.788
19/06/91,1.78
20/06/91,1.7715
21/06/91,1.773
24/06/91,1.769
25/06/91,1.7694
26/06/91,1.7659
27/06/91,1.7645
28/06/91,1.763
01/07/91,1.767
02/07/91,1.7713
03/07/91,1.7665
05/07/91,1.7645
08/07/91,1.7555
09/07/91,1.758
10/07/91,1.757
11/07/91,1.7595
12/07/91,1.7485
15/07/91,1.7495
16/07/91,1.7505
17/07/91,1.7495
18/07/91,1.7489
19/07/91,1.749
22/07/91,1.75
23/07/91,1.7489
24/07/91,1.7475
25/07/91,1.7549
26/07/91,1.7485
29/07/91,1.7485
30/07/91,1.747
31/07/91,1.7395
01/08/91,1.74
