Real interest rate (%),Series Name,Real interest rate (%)
..,1971 [YR1971],0.622615404
..,1972 [YR1972],0.887217688
..,1973 [YR1973],2.409732336
..,1974 [YR1974],1.651069705
..,1975 [YR1975],-1.281427033
..,1976 [YR1976],1.266891593
..,1977 [YR1977],0.575074758
3.006699115,1978 [YR1978],1.889901103
3.105095836,1979 [YR1979],4.034513098
0.534883963,1980 [YR1980],5.716428328
7.338554178,1981 [YR1981],8.594585291
5.448374541,1982 [YR1982],8.17739544
5.698778458,1983 [YR1983],6.61817445
8.86152616,1984 [YR1984],8.141074844
9.671217946,1985 [YR1985],6.563326293
8.175299093,1986 [YR1986],6.193866159
5.537930896,1987 [YR1987],5.59256508
0.50611088,1988 [YR1988],5.590367092
1.970336056,1989 [YR1989],6.690695342
2.545643279,1990 [YR1990],6.039744377
3.014395146,1991 [YR1991],4.91535245
4.50220448,1992 [YR1992],3.884240016
1.870453883,1993 [YR1993],3.546688729
2.336551651,1994 [YR1994],4.898356137
3.119130585,1995 [YR1995],6.5940689
4.683226223,1996 [YR1996],6.324007949
5.184891291,1997 [YR1997],6.603407039
8.883774641,1998 [YR1998],7.148191874
9.73165276,1999 [YR1999],6.457134913
1.897357839,2000 [YR2000],6.844844184
7.602682858,2001 [YR2001],4.626756867
6.290296818,2002 [YR2002],3.045071183
7.223096294,2003 [YR2003],2.224101122
1.178498844,2004 [YR2004],1.604588938
3.329063438,2005 [YR2005],2.981356779
3.403974107,2006 [YR2006],4.786447647
-0.553483124,2007 [YR2007],5.22340589
6.861274214,2008 [YR2008],3.082411291
2.34934131,2009 [YR2009],2.468828896
4.230742021,2010 [YR2010],2.060736709
4.28104961,2011 [YR2011],1.13733832
4.886795201,2012 [YR2012],1.307083113
5.856075732,2013 [YR2013],1.469299287
5.634826207,2014 [YR2014],1.332891842
2.221784267,2015 [YR2015],2.167480568
4.622535915,2016 [YR2016],2.391984287
2.432034112,2017 [YR2017],2.154928728
2.173523082,2018 [YR2018],2.485817106
5.15024813,2019 [YR2019],3.478199834
